publisher_id,publisher_name,channel,channel_id,custom_url,language,category,language_id,category_id
3,Dainik Jagran,Dainik Jagran,UCSKgOW8Pg_eZymYJyJc432g,@dainikjagran,Hindi,news,2,13
4,Jagran Prakashan,onlymyhealth,UCJgHIph1RZwd6UT4Z0XmL0w,@omh,Hindi,health,2,8
7,ESPN,ESPN,UCiWLfSweyRNmLpgEHekhoAg,@espn,English,sports,1,12
12,News18 Assamese,News18 Assamese,UCAjBd-r8JWfnRjfhg23nqLQ,@News18AssamNortheastLive,Assamese,news,13,13
14,Lokmat,Lokmat,UC5MHSwQ2menwYF2DqKoJsZg,@lokmat,Marathi,news,4,13
20,CNN-News18,CNN-News18,UCef1-8eOpJgud7szVPlZQAQ,@cnnnews18,English,news,1,13
56,Forbes India,Forbes India,UCb9Cheg6Cf6r2mcsaleVx7g,@ForbesIndia,English,news,1,13
58,moneycontrol,moneycontrol,UChftTVI0QJmyXkajQYt2tiQ,@moneycontrol,English,business,1,17
92,Webdunia Gujarati,Webdunia Gujarati,UCdxzHoHBXyY0Rsyuh4gZKUg,@WebduniaGujarati,Gujarati,news,3,13
232,Rajasthan Patrika,Rajasthan Patrika,UCWk-7Yosyvzln9ZzJg8BvVg,@rajasthanpatrikatv,Hindi,news,2,13
243,Digit,Digit,UCXpIVRiyfsMB2aXXn2yq6LA,@digit,English,technology,1,14
324,Webdunia Tamil,Webdunia Tamil,UCxFIiFdLJaTcNBfQYTiLElw,@Webdunia-Tamil,Tamil,news,6,13
328,News18 Bangla,News18 Bangla,UCbf0XHULBkTfv2hBjaaDw9Q,@News18Bangla,Bangla,news,7,13
371,News18 Gujarati,News18 Gujarati,UCqfX_f4rBbPhq_KESE4saCA,@News18Gujarati,Gujarati,news,3,13
534,News18 Urdu,News18 Urdu,UC9IQhNgS43lmUdU-KdGyb0A,@News18Urdu,Urdu,news,8,13
535,News18 Hindi,News18 Hindi,UCPP3etACgdUWvizcES1dJ8Q,@news18India,Hindi,news,2,13
540,News18 Lokmat,News18 Lokmat,UCrcpw88HvKJ0skdsHniCJtQ,@News18LokmatTV,Marathi,news,4,13
638,Namasthe Telangana,Namasthe Telangana,UCGK11EQwSUXSBDsP-Aw9RWQ,@Namasthetelangaana,Telugu,news,5,13
685,Sportskeeda Cricket,Sportskeeda Cricket,UCNB3EZTFZhVTwvEoo1Cw3Dg,@sportskeedacricket4040,English,cricket,1,18
693,GSTV News,GSTV News,UCR6arqcGnmild76MuXQjezA,@gstvnews,Gujarati,news,3,13
733,Pinkvilla,Pinkvilla,UCkJZQddO3XTCdcLjN019FjA,@pinkvilla,English,entertainment,1,3
795,Car Dekho,Zigwheels,UCjmjWp38PCg15Z5ZS-tmpfw,@zigwheels,English,automotive,1,10
852,ഡിജിറ്റ് മലയാളം - Digit Malayalam,Digit Malayalam,UCd7ycss5JkVzLK7Gpvpb6bg,@digitmalayalam,Malayalam,technology,10,14
1093,Koimoi,Koimoi,UC-Yzz2q5vFkCxbUiqJQzcEQ,@koimoi,English,entertainment,1,3
1144,The Quint,The Quint,UCSaf-7p3J_N-02p7jHzm5tA,@thequint,English,business,1,17
1160,Prabhasakshi,Prabhasakshi,UCk77z4G2lg2_wFoFRz6XZSg,@prabhasakshinews,Hindi,news,2,13
