id,category_id,language_id,publication_id,feed_url,category_name,pub_name,language_name
1,173,9,3001,https://nprssfeeds.indiatimes.com/np-syndicate/feed/listing/combined/jio?tag=brief&lang=kannada&cp=1,Top News,NP Kannada,Kannada
2,173,7,3002,https://nprssfeeds.indiatimes.com/np-syndicate/feed/listing/combined/jio?tag=brief&lang=tamil&cp=1,Top News,NP Tamil,Tamil
3,173,11,3003,https://nprssfeeds.indiatimes.com/np-syndicate/feed/listing/combined/jio?tag=brief&lang=telugu&cp=1,Top News,NP Telugu,Telugu
4,173,6,3004,https://nprssfeeds.indiatimes.com/np-syndicate/feed/listing/combined/jio?tag=brief&lang=malayalam&cp=1,Top News,NP Malayalam,Malayalam
6,173,1,20,https://www.news18.com/commonfeeds/v1/eng/feeds/short_news/news,Top News,News18,English
7,173,2,1805,https://hindi.news18.com/commonfeeds/v1/hin/feeds/short_news/news,Top News,News18 Hindi,Hindi
8,173,2,1160,https://www.prabhasakshi.com/rss/jio-news-brief.xml,Top News,Prabhasakshi,Hindi
9,173,2,1767,https://www.tv9hindi.com/jio-rss-feed,Top News,TV9 Hindi,Hindi
10,173,13,1770,https://tv9bangla.com/jio-rss-feed,Top News,TV9 Bangla,Bangla
11,173,3,1771,https://www.tv9marathi.com/jio-rss-feed,Top News,TV9 Marathi,Marathi
12,173,11,1766,https://tv9telugu.com/jio-rss-feed,Top News,TV9 Telugu,Telugu
13,173,9,1768,https://tv9kannada.com/jio-rss-feed,Top News,TV9 Kannada,Kannada
15,173,10,1925,https://tv9punjabi.com/jio-rss-feed/,Top News,TV9 Punjabi,Punjabi
16,173,2,1773,https://www.money9live.com/jio-rss-feed/,Top News,Money9 Live,Hindi
17,173,1,1840,https://www.news9live.com/jio-rss-feed/,Top News,News9 Live,English
18,173,6,1994,https://www.malayalamtv9.com/jio-rss-feed,Top News,TV9 Malayalam,Malayalam
19,173,7,1996,https://www.tv9tamilnews.com/jio-rss-feed,Top News,TV9 Tamil,Tamil
20,173,19,1995,https://www.assamtv9.com/jio-rss-feed,Top News,TV9 Assam,Assamese
21,173,1,3005,https://www.jagranjosh.com/rss/josh/jionews-en.xml,Top News,Jagran Josh,English
22,173,2,4,https://rss.jagran.com/jioRSS/fatafat.xml,Top News,Dainik Jagran,Hindi
23,173,1,1718,https://english.jagran.com/rss/jio/fatafat.xml,Top News,The Daily Jagran,English
24,173,1,1156,https://www.latestly.com/rss-feed/jio/,Top News,Latestly,English
25,173,2,1178,https://hindi.latestly.com/rss-feed/jio/,Top News,Latestly Hindi,Hindi
26,173,1,1562,https://www.republicworld.com/rss/jionews/latest-news.xml,Top News,Republic World,English
27,173,2,1741,https://www.republicbharat.com/rss/jionews/latest-news.xml,Top News,Republic Bharat,Hindi
28,173,2,3008,https://nprssfeeds.indiatimes.com/np-syndicate/feed/listing/combined/jio?tag=brief&lang=hindi&cp=1,Top News,NP Hindi,Hindi
29,173,3,3006,https://nprssfeeds.indiatimes.com/np-syndicate/feed/listing/combined/jio?tag=brief&lang=marathi&cp=1,Top News,NP Marathi,Marathi
30,173,4,3007,https://nprssfeeds.indiatimes.com/np-syndicate/feed/listing/combined/jio?tag=brief&lang=gujarati&cp=1,Top News,NP Gujarati,Gujarati
31,173,4,1811,https://gujarati.news18.com/commonfeeds/v1/guj/feeds/short_news/news,Top News,News18 Gujarati,Gujarati
32,173,13,1809,https://bengali.news18.com/commonfeeds/v1/ben/feeds/short_news/news,Top News,News18 Bangla,Bangla
33,173,7,1235,https://tamil.news18.com/commonfeeds/v1/tam/feeds/short_news/news,Top News,News18 Tamil,Tamil
35,173,19,1364,https://assam.news18.com/commonfeeds/v1/asm/feeds/short_news/news,Top News,News18 Assamese,Assamese
36,173,9,1234,https://kannada.news18.com/commonfeeds/v1/kan/feeds/short_news/news,Top News,News18 Kannada,Kannada
38,173,1,3009,https://cms.iansnews.in/admin/jio-rss-feeds-en/national/?token=6597a5602efecd570f2281b2ca6d501a6004a68b,Top News,IANS Live English,English
39,173,2,3010,https://cms.iansnews.in/admin/jio-rss-feeds-hi/national/?token=6597a5602efecd570f2281b2ca6d501a6004a68b,Top News,IANS Live Hindi,Hindi
40,173,11,0,https://odia.news18.com/commonfeeds/v1/odi/feeds/short_news/news,Top News,News18 Odia,Odia
